"long","lat","aday","amon","id"
174.875,-36.625,104,4,8
174.625,-35.625,105,4,8
174.625,-35.875,106,4,8
174.875,-36.125,107,4,8
174.875,-36.625,108,4,8
174.875,-36.625,109,4,8
174.875,-36.625,110,4,8
174.875,-36.375,111,4,8
174.875,-36.625,112,4,8
174.875,-36.375,113,4,8
174.875,-36.625,114,4,8
174.875,-36.625,115,4,8
174.875,-36.625,116,4,8
174.875,-36.125,117,4,8
174.875,-35.875,118,4,8
174.875,-35.625,119,4,8
174.875,-35.375,120,5,8
174.875,-36.375,121,5,8
174.875,-36.625,122,5,8
174.875,-36.625,123,5,8
174.875,-36.625,124,5,8
174.875,-36.375,125,5,8
174.875,-36.125,126,5,8
174.875,-36.625,127,5,8
174.625,-35.875,128,5,8
174.875,-35.125,129,5,8
174.875,-36.125,130,5,8
174.875,-36.125,131,5,8
174.625,-35.875,132,5,8
174.875,-36.625,133,5,8
174.875,-36.625,134,5,8
174.875,-36.625,143,5,9
174.875,-36.375,144,5,9
174.875,-36.625,145,5,9
174.875,-36.625,146,5,9
174.875,-36.375,147,5,9
174.875,-36.375,148,5,9
174.875,-36.625,149,5,9
174.875,-36.375,150,6,9
174.875,-36.625,151,6,9
174.875,-36.625,152,6,9
174.875,-36.625,153,6,9
174.875,-36.625,154,6,9
174.875,-36.625,155,6,9
174.875,-36.625,156,6,9
174.875,-36.375,157,6,9
174.625,-35.875,158,6,9
174.875,-36.625,159,6,9
174.875,-36.625,160,6,9
174.875,-36.625,161,6,9
174.875,-36.125,162,6,9
174.875,-35.875,163,6,9
174.875,-36.375,164,6,9
174.875,-36.625,165,6,9
174.875,-36.625,166,6,9
174.625,-35.875,167,6,9
174.875,-36.625,168,6,9
174.875,-36.625,169,6,9
174.875,-36.625,170,6,9
174.875,-36.625,171,6,9
174.875,-36.375,172,6,9
174.875,-35.875,173,6,9
174.875,-36.625,174,6,9
174.875,-36.625,175,6,9
174.875,-36.625,176,6,9
174.875,-36.625,177,6,9
174.875,-36.625,178,6,9
174.875,-36.625,179,6,9
174.875,-36.375,180,7,9
174.875,-36.125,181,7,9
174.875,-35.875,182,7,9
174.875,-35.625,183,7,9
174.875,-36.125,184,7,9
174.875,-36.125,185,7,9
174.875,-36.625,186,7,9
174.875,-36.375,187,7,9
174.875,-36.125,188,7,9
174.625,-35.875,189,7,9
174.875,-36.125,190,7,9
174.875,-35.875,191,7,9
174.875,-35.875,192,7,9
174.875,-36.375,124,5,10
174.875,-36.375,125,5,10
174.875,-35.875,126,5,10
174.875,-36.625,127,5,10
174.875,-36.625,128,5,10
174.875,-36.625,129,5,10
174.875,-36.625,130,5,10
174.875,-36.375,131,5,10
174.875,-35.875,132,5,10
174.625,-35.625,133,5,10
174.875,-35.875,134,5,10
174.875,-35.625,135,5,10
174.625,-35.875,136,5,10
174.625,-35.875,137,5,10
174.875,-35.875,138,5,10
174.875,-35.125,139,5,10
174.375,-34.875,140,5,10
174.875,-35.375,141,5,10
174.875,-35.625,142,5,10
174.875,-36.625,143,5,10
174.875,-35.875,144,5,10
174.625,-35.625,145,5,10
174.875,-35.875,146,5,10
174.875,-36.375,147,5,10
174.875,-36.625,148,5,10
174.875,-36.625,149,5,10
174.875,-36.375,150,6,10
174.875,-36.625,151,6,10
174.875,-36.125,152,6,10
174.875,-35.875,153,6,10
174.875,-35.875,154,6,10
174.375,-35.125,155,6,10
174.875,-36.625,156,6,10
174.875,-36.625,157,6,10
174.875,-36.125,158,6,10
174.875,-36.625,159,6,10
174.875,-36.625,160,6,10
174.875,-36.625,161,6,10
174.875,-36.625,162,6,10
174.875,-36.625,163,6,10
174.875,-36.625,164,6,10
174.875,-36.125,165,6,10
174.875,-35.375,166,6,10
174.875,-35.375,167,6,10
174.875,-35.875,168,6,10
174.875,-36.625,169,6,10
174.875,-36.625,170,6,10
174.875,-36.625,171,6,10
174.875,-36.375,172,6,10
174.875,-36.125,173,6,10
174.875,-36.375,174,6,10
174.875,-36.625,175,6,10
174.875,-36.125,176,6,10
